Voici la liste des ancêtres de Jésus-Christ, descendant de David, lui-même descendant d'Abraham.	Ŋwa'nyə nə ŋkhənyə Yeso Kristo mú David, mú Abraham.
Je pourrais transmettre des messages reçus de Dieu, posséder toute la connaissance et comprendre tous les mystères, je pourrais avoir la foi capable de déplacer des montagnes, si je n'ai pas d'amour, je ne suis rien.	Ywə yə a bɑ nthʉm dzʉ́ bɑ ywə tə́ dəŋ pu piŋ bɑ gwak a, ywə yə a bɑ ywə tə ywə a, Si bɑ e cwɔ' ya nə nə dɑ ywə yə a ywə a gə mzhʉm.
Je pourrais distribuer tous mes biens aux affamés et même livrer mon corps aux flammes, si je n'ai pas d'amour, cela ne me sert à rien.	Po'o gɑ sɔmmo yə Si lə nyaptə e a kɑ ŋa' nɑ e dzə Si.
Qui aime est patient et bon, il n'est pas envieux, ne se vante pas et n'est pas prétentieux	A shyə m nə E tə́ po pɑ nə́ Kristo Yeso yə e bɑ bi pɑ bɑ́ fʉ́ yə a fɑ m bi Si a, nwə dəŋdəŋ, lɔ́nyə, nə vɔk mo.
qui aime ne fait rien de honteux, n'est pas égoïste, ne s'irrite pas et n'éprouve pas de rancune	Po'o gɑ́ dəŋdəŋ pa' ywə yə pu lə və a gɔm a gɑ: mo yə e gɔ ŋa' nɑ e a ŋa' nɑ e m nə Si.
qui aime ne se réjouit pas du mal, il se réjouit de la vérité.	Mfɑmfɑ́, kwa' myə, cwə yə ŋ khɑ sɔ' wə po a, ŋ də lɑ́ pɑ gʉ' mghɔm kɑ fʉ̌ lə tə nə siŋ wɔ nwə cyə zhyənwə Si bi po.
Qui aime supporte tout et garde en toute circonstance la foi, l'espérance et la patience.	Nə pa' a bɑ gɑ̌ nyəŋ gɑ tə da' Yeso, pɑ́ da' yʉ a, ŋ tə́ gɔ piŋ zhyə sɔmywə wə́ po pɑ.
L'amour est éternel. Les messages divins cesseront un jour, le don de parler en des langues inconnues prendra fin, la connaissance disparaîtra.	A ywə yə a lə gə tə bɑ dzə̌ po pɑ́ bwapwǎ, bɑwə bwɔk biŋ bɑwə səŋ a
En effet, notre connaissance est incomplète et notre annonce des messages divins est limitée	ǎ po' tə́ sɔm mghɔm nə nthənyə kɑ mghɔm fʉ́ lə la tə́ pɑ́ nə ghɔm tsɑ̌ pu a siŋ a; a lə bɑ́ pɑ́ nə la'tə wɔ nwə shyə m nə mtʉɔ̀ Zhwenyə
mais quand viendra la perfection, ce qui est incomplet disparaîtra.	po'o gɑ piŋnthʉm yɔ kɑ fɑ m nə fʉ̌ monəŋ pɑ, a piŋnthʉm yɔ fɑ m nə mtʉɔ Si.
Lorsque j'étais enfant, je parlais, pensais et raisonnais comme un enfant; mais une fois devenu adulte, j'ai abandonné tout ce qui est propre à l'enfant.	Ba tə po'o pyə̌ ji'tə pɑ kwa' fʉ̌ bi pɔ Kristo pyə wap bɑ wap ghəmtə a, fʉ̌ yə a tə́ bɑ yə́ yəŋ dzʉ̌ a pɑ́, kɑ yə́ mfo nə dzʉ̌, mfo pyə pu gɔ sɔ' sa'tə wap lə.
A présent, nous ne voyons qu'une image confuse, pareille à celle d'un vieux miroir; mais alors, nous verrons face à face. A présent, je ne connais qu'incomplètement; mais alors, je connaîtrai Dieu complètement, comme lui-même me connaît.	Pyə ji'tə fʉ́ yə a bɑ́ yə́ Si a, nwə cyə zhyənwə, yə a lə bɑ ǎ tʉmnyə, bɑ Si lə la' ŋkha' tə tyɛ̌' gɑ a gɔ sɔ' pɑ ghu'tə bi pɑ a.
Maintenant, ces trois choses demeurent: la foi, l'espérance et l'amour; mais la plus grande des trois est l'amour.	Sɔm fo yəŋ dzʉ̌ la tə́ zhyə́ yá, nə pa' wap lə pe' jyə bɑ wap lě tə́ kam Cyəpɔ ghu'tə thə bɛnyəpɛnyə.
Cherchez donc avant tout à recevoir l'amour. Désirez aussi les dons spirituels, surtout celui de transmettre les messages reçus de Dieu.	Da' gɑ a bɑ pu lě bvə gɑ: A bɑ́ ywə yə bɛtsə́ ka yɔ a, ywə yə mtə̌ŋ ka yu' a, ywə yə a ka kwɔ' nthʉm tʉ̀m sɔmmo a, guŋ ywə awɛ yə Si lə nyaptə bi pɔ pyə wap ŋkhuŋ e a.
Celui qui parle en des langues inconnues ne parle pas aux hommes mais à Dieu, car personne ne le comprend. Par la puissance de l'Esprit, il exprime des vérités mystérieuses.	Tə́ Si bɑ e ghə pɑ zhyə nwə bɔ shyə m nə́ Zhwenyə. Nə pa' Zhwenyə jyə guŋ ywə awɛ ba yə a bɑ m nə si a.
Mais celui qui transmet des messages divins parle aux autres pour les faire progresser dans la foi, pour les encourager et pour les consoler.	Wɑ̌ cəcɑ̌ pɔmnəŋ bɑ e zhyə ywə yə́ a bɑ nthʉm mo a, tə ně da' zhwenyə mo yə a bɑ nə́ e a? A bɑ dəŋdəŋ po'o tə́ ywə yə a bɑ nə Si a, sɔmmo ka zhyə ya tə ně da' Zhwenyə Si.
Celui qui parle en des langues inconnues est seul à en tirer profit, tandis que celui qui transmet des messages divins en fait profiter l'Église entière.	Sɔ' m nə pɑ, pɑ tə́ bɑ pɑ̌ kwi zhwenyə dzʉ́ pɑ́, pɑ̌ bɑ pɑ kwi Zhwenyə yə a fɑ m bi Si a, po'o gɑ pɑ zhyə gho' yə Si hɑ bi pɑ a.
Je veux bien que vous parliez tous en des langues inconnues, mais je désire encore plus que vous puissiez transmettre des messages divins. En effet, celui qui donne de tels messages est plus utile que celui qui parle en des langues inconnues, à moins que quelqu'un ne soit capable d'expliquer ce qu'il dit afin que l'Église entière en profite.	Pɑ tə biŋ gɔm m nə ghɔm tsyə́ fʉ̌ dzʉ́ ji'tə a pɑ, pɑ gɔm m nə tsyə́ Zhwenyə, bɑ gɔm nwə Zhwenyə m nə́ zhwenyə.
Ainsi, frères, je vous le demande: quand je viendrai chez vous, si je vous parle en des langues inconnues, en quoi vous serai-je utile? A rien, à moins que je ne vous communique une révélation, une connaissance, un message divin, ou encore un enseignement.	Mo yə é bɑ yə́ pɑ nə mà monəŋthə́ a tə́ biŋ ywə yə a fɑ m bi Zhwenyə Si a pɑ. A shwə bi e m pa' pʉə a, bi a pɑ́ e lə yu', nə pa' pu dɑ pɑ zhwenyə tə nə sɛnwə.
Prenons l'exemple d'instruments de musique comme la flûte ou la harpe: si les notes ne sont pas données distinctement, comment reconnaîtra-t-on la mélodie jouée sur l'un ou l'autre de ces instruments?	Mo yə e bɑ mo zhwenyə a fyɛ' guŋ ywə awɛ da' gɑ́ la' sɔmmo pɑ fyɛ' e.
Et si le joueur de trompette ne fait pas retentir un appel clair, qui se préparera au combat?	Nə pa' wɑ̌ bɑ ě zhyə mkwɛnyə Cyəpɔ tə bi a pɑ e hɑ nthɔ̌k bi e? Tə a bɑ pɑ̌ nəŋ gə mkwɛnyə Kristo.
De même, comment pourra-t-on comprendre de quoi vous parlez si le message que vous exprimez au moyen de langues inconnues n'est pas clair? Vous parlerez pour le vent!	Mfɑmfɑ́ a sɔ' m nə m̀ bɑ ŋ kha ghɔmnwə bi po m pa' bi pɔ zhwenyə a pɑ́, gɑ̌ ghɔm m pa' bi pɔ bap nɑ́ a, pa' bi pǒ mkəcɔk pó nə Kristo a.
Il y a bien des langues différentes dans le monde, mais aucune d'entre elles n'est dépourvue de sens.	Gɑ̌ bɑ gɑ hɑ pɑ bʉ̌ɔ bi po gɑ po nwə́, a tə́ bɑ ywətsʉ nthʉɔtʉɔ pɑ́: Nə pa' bɑ po la tə gɔ tsʉ́ zhyə pɑ́; ba m tyɛ' ɔ pɑ po lə tsʉ́ jyə́
Cependant, si je ne connais pas une langue, celui qui la parle sera un étranger pour moi et moi un étranger pour lui.	nə pa' po jɑ̀ pɑ́ pɔ bapnɑ: Nə pa' nə khiŋnyə ba nə sa' mshɛ bɑ cəcɑ̌ po. Po tə́ bɑ pɑ pɔ bapnɑ biŋ bɑ giŋ pɑ pa' monəŋthə a pɑ a?
Ainsi, puisque vous désirez avec ardeur les dons de l'Esprit, cherchez à être riches surtout de ceux qui font progresser l'Église.	Cwə yə́ mu' mo gɔm gɑ: Gɑ̌ bɑ mo Polo, yə mu' mo ghɔm yə gɑ: Gɑ̌ bɑ pɑ yə mo Apolos a, po lə pɑwə gə yɔ pɑ́ pa' pɔmnəŋ a pɑ a?
Par conséquent, celui qui parle en des langues inconnues doit demander à Dieu le don d'interpréter ces langues.	Apolos bɑ wɑ? Polo pɑ wɑ́? Wap bɑ mghɛ fa' pyə po lə́ cyə m nə́ pu tə gə piŋnthʉm a. Bǎ ya mo nə pu lə́ lə fǎ' nə yə́ dəŋ yə Cyəpɔ lə́ hɑ̌ bi a.
Car si je prie dans de telles langues, mon esprit est bien en prière, mais mon intelligence demeure inactive.	Myə ŋ dě nthʉ́, Apolos fi'tə shyə nə́, da' gɑ Si nə́ gə a kwyə.
Que vais-je donc faire? Je prierai avec mon esprit, mais je prierai aussi avec mon intelligence; je chanterai avec mon esprit, mais je chanterai aussi avec mon intelligence.	Nə pa' mo yə e nthʉ a tə bɑ ywə pɑ́, mo yə e fi' a lə pɑ ywə. Da' Si yə e gə a kwyə́ a nə́ sɛ.
En effet, si tu remercies Dieu uniquement en esprit, comment celui qui est un simple auditeur dans l'assemblée pourra-t-il répondre «Amen» à ta prière de reconnaissance? Il ne sait vraiment pas ce que tu dis.	Mo yə e nthʉ́ a pu mo yə e fi' a bɑ pɑ ta' ywə. Bǎ ya mo lə́ nə pu pɑ gɔ sɔ' kwi myə mcwo'fa' nə də́ŋ fa' tsyə́.
Même si ta prière de reconnaissance est très belle, l'autre n'en tire aucun profit.	Nə pa' guŋ yɔk awɛ nthamtə fá' pɑ nə fà' Si, po piŋ bɑ pé yə Si dzʉ' a, pa' yə e ŋkwɑ a.
Je remercie Dieu de ce que je parle en des langues inconnues plus que vous tous.	Shyə m nə́ dəŋ gho' yə Si hɑ bəm a, dəŋdəŋ pa' gɛ və pɑpuŋ a, gɑ̌ yap to pà', mu' mo kwɑ́ pa' dəm o. Da' gɑ́ bǎ ya mo lə́ cəŋtə́ sɛ pá' e nə ŋkwɑ́ a.
Mais, devant l'Église assemblée, je préfère dire cinq mots compréhensibles, afin d'instruire les autres, plutôt que de prononcer des milliers de mots en langues inconnues.	Sɔ' m nə to pá', bi a pɑ sɔmmo lə piŋ jap mǔ' tə ně yə ǎ dzə́ pɑ a: Yeso Kristo.
Frères, ne raisonnez pas comme des enfants; soyez des enfants par rapport au mal, mais soyez des adultes quant à la façon de raisonner.	Mo lɑ pɑ́ tʉ̌ɔ gɔl kə tʉɔ ŋkhap kə mwɔ' tʉɔdəŋ, kə ŋkwyə́, kə mghě, kə pǐŋ lə́ tə́ nə ŋkwɑ́ dəm to pa' bɔ
Voici ce que déclare l'Écriture: «C'est par des hommes de langue étrangère que je m'adresserai à ce peuple, dit le Seigneur, je leur parlerai par la bouche d'étrangers. Même alors ils ne voudront pas m'entendre.»	bɑ pu gɔ sɔ' cʉ'nyə bǎ tsyə fa' wɑlɑ́. Tyɛ' fyɛ' gɔ sɔ' ghə pu zhyə, nə pa' tyɛ'dzʉ́ bɔ gɔ sɔ' cyə m nə mɔ̌k, mɔk la'tə tiŋ fa' bǎ yá mo lə̀.
Ainsi, le don de parler en langues inconnues est un signe pour les non-croyants, mais non pour les croyants; inversement, le don de transmettre des messages divins est un signe pour les croyants, mais non pour les non-croyants.	Mo yə fà' tsyə́ tə gɔ sɔ' sim a pɑ́ gɔ sɔ' kwi mcwɔ'fà'.
Supposons donc que l'Église entière s'assemble et que tous se mettent à parler en des langues inconnues: si de simples auditeurs ou des non-croyants entrent là où vous vous trouvez, ne diront-ils pas que vous êtes fous?	Mo yə fà' tsyə́ khə a tə́ gɔ sɔ' kwi sɔmywə pɑ́; kwa' yʉ́ gɔ sɔ' vɔk, tə́ vɔk m pá' mo bvɔk mɔk a.
Mais si tous transmettent des messages divins et qu'il entre un non-croyant ou un simple auditeur, il sera convaincu de son péché à cause de ce qu'il entend. Il sera jugé par tout ce qu'il entend	Po tə́ jyə gɑ po bɑ dyə́ Si, Zhwenyə Si piŋ bɑ shwə́ nə́ po a?
et ses pensées secrètes seront mises en pleine lumière. Alors, il se courbera le visage contre terre et adorera Dieu en déclarant: «Dieu est vraiment parmi vous!»	Mo yə ě sa'tə dyə́ Si a bɑ Si gɔ sɔ' sa'tə e. Nə pa' dyə Si bɑ dɔlɔ̌, wɔ nə piŋ bɑ bɔ.
Que faut-il en conclure, frères? Lorsque vous vous réunissez pour le culte, l'un de vous peut chanter un cantique, un autre apporter un enseignement, un autre une révélation, un autre un message en langues inconnues et un autre encore l'interprétation de ce message: tout cela doit aider l'Église à progresser.	Ka sɔmmo fʉ́tə nɑ e: Mo pɑ cəcɑ̌ po bɑwə ŋkwɛ gɑ e ghə fʉ m nə nthi fʉ̌ dzʉ́, e cʉ' bʉəpǒ tə gə fʉ́
Si l'on se met à parler en des langues inconnues, il faut que deux ou trois au plus le fassent, chacun à son tour, et que quelqu'un interprète ce qu'ils disent.	nə pa' fʉ̌ yəŋ dzʉ̌ bɑ pʉə dzə̌ Si. Nə pa' a bɑ pu və gɑ: E dɑ pɑ́ fʉ̌ mghɛ fʉ́ tə gəm wap
S'il ne se trouve personne pour les interpréter, que chacun d'eux renonce alors à s'exprimer à haute voix dans l'assemblée: qu'il parle seulement à lui-même et à Dieu.	ba m gɑ: Cyəpɔ bɑ ě zhyə mkwɛnyə mghɛ fʉ́, jyə gɑ a bɑ pɔpɔ.
Quant à ceux qui reçoivent des messages divins, que deux ou trois prennent la parole et que les autres jugent de ce qu'ils disent.	A po'o tə sɔmmo nə po kɑ lɑ monəŋ ŋa'tə nə pa' guŋ e awɛ bɑ bi po
Mais si une autre personne présente reçoit une révélation de Dieu, il faut que celui qui parle s'interrompe.	Polo, Apolos, Kefas, dzʉ̌, vɔk kɑ vʉ̌ lə, cwəlɔ kɑ yǒ lə, guŋ e awɛ bɑ bi po
Vous pouvez tous donner, l'un après l'autre, des messages divins, afin que tous soient instruits et encouragés.	da' gɑ po pɑ bi Kristo, Kristo pɑ bi Si.
Ceux qui transmettent de tels messages doivent rester maîtres du don qui leur est accordé	Pu yɔ wɔk pɑ pa' mghɛ fa' Kristo biŋ bɑ pɑ pyap nwə cyə zhyənwə Si a.
car Dieu n'est pas un Dieu qui suscite le désordre, mais qui crée la paix. Comme dans toutes les communautés chrétiennes	A nə́ŋ bɑ po'o ywə yə́ pu həŋtə́ bi byap ywə a, a bɑ́ gɑ́ e kɑ ghə mfʉ̀m.
il faut que les femmes gardent le silence dans les assemblées: il ne leur est pas permis d'y parler. Comme le dit la loi de Dieu, elles doivent être soumises.	Tə́ sɔ' m nə m̀, kɑ wɔ, kɑ pɔmnəŋ nə́ fyɛ' a lə, bɑ a tə shɛ pɑ́. Kwa' myə ŋ tə́ fyɛ' nɑ a pɑ.
Si elles désirent un renseignement, qu'elles interrogent leur mari à la maison. Il n'est pas convenable pour une femme de parler dans une assemblée.	Tʉm tsǎ tə́ wə sa' a nə sɔmywə pɑ́, tə́ tə ya nə da'tə gɑ́ gɑ̌ bɑ dəŋdəŋ pɑ́; mo yə́ e fyɛ' a a bɑ Cyəpɔ.
Ou bien serait-ce de chez vous que la Parole de Dieu est venue? ou serait-ce à vous seuls qu'elle est parvenue?	A po'o tə gɑ̌ gɔm bi po gɑ́ ka po fyɛ' tə cwə ŋkhu', tə Cyəpɔ guŋ sɔ̌'. Yu nə gɔ sɔ' khyɛ' ywə yə a bɑ ǎ tʉmnyə̀ nthʉm jʉm a, ghə pu yɔ mkwɛnyə myə́ ǎ nthʉm tʉ́m mo a. A pɑ́ po'o bǎ yɑ mo lə kwi yə gho'tə bi Si.
Si quelqu'un pense être messager de Dieu ou pense avoir un don spirituel, il doit reconnaître dans ce que je vous écris un commandement du Seigneur.	A du pɑ nə po mfɑ́mfɑ́ tə́ ŋ da'tə ya bi po m nə mu' nthi, shyə m nə́ Apolos ba m nə́ myə, po'o gɑ po lɑ yɔk fo', ji'tə nə cyətə pɑ̌ ŋa'nɑ́ nə cwə yə pǒ piŋ mɑki kɑ mɑsɔk lə.
Mais s'il ne le reconnaît pas, qu'on ne tienne pas compte de lui.	Wɑ̌ da'tə gɑ o bɑ yu nthi dǒ o? A bɑ o wim kɑ yə pu tə hɑ bu hɑ̌ a pɑ? Bi a pɑ gɑ́ pu hɑ bu hɑ̌, bɑ nwə kɑ́ o nə ŋa'nɑ́ o pa' cwə yə́ pu tə hɑ bu hɑ̌ a pɑ?
Ainsi, mes frères, cherchez avant tout à transmettre des messages divins, mais n'interdisez pas de parler en des langues inconnues.	Po bɑ po tsə zhwyə! Po tsə zhi! A ka pɑ wɔk a bɑ pǒ bɑ mfo! Ah! Tə́ po pɑ́ mfo, bɑ pɑ nə bəmtə sa'
Seulement, que tout se fasse avec dignité et ordre.	nə pa' gɑ̌ kwɛ gɑ Si tʉ wɔk thə́, wɔk mghɛ nthəm, jap wɔk nə jʉɔjʉ̀m tsʉ' pa' pɔ pyə pu gɔ cyə́ŋ wap thə a: Pu le jwɔk jɔ wɔk, dzʉ̌, pɑ aŋgəle ba pɔmnəŋ.
Frères, je désire vous rappeler maintenant la Bonne Nouvelle que je vous ai annoncée, que vous avez reçue et à laquelle vous êtes fermement attachés.	Pyə bɑ mpʉəpo shyə m nə Kristo. Tə wɔ, a bɑ po ghə fʉ́ shyə m nə Kristo; pyə bɑ pɔ bwapwǎ, po pɑ pɔ nthʉɔtʉɔ; pu bɑwə hɑ mku' bi po, bɑwə gwak wɔk.
C'est par elle que vous êtes sauvés, si vous la retenez telle que je vous l'ai annoncée; autrement, vous auriez cru inutilement.	Kwa' cwəlɔ, jikǔ' bɑwə jɛ́ wɔk, ghak yɔk pɑwə ŋkhə́, tə dzə́ nə pyə, bɑwə jɔgo', tɑ pɑ̌ dyə
Je vous ai transmis avant tout cet enseignement que j'ai reçu moi-même: le Christ est mort pour nos péchés, comme l'avaient annoncé les Écritures	bɑwə jɔgo' nə mfa' bú. Pu bɑwə jəmtə wɔk, pyə ma' pɑ́ hwitə; pu dɑ wɔk jɔgo' pyə sɔksɔk.
il a été mis au tombeau et il est revenu à la vie le troisième jour, comme l'avaient annoncé les Écritures	Pu bɑwə nthɛmnɛ mɔk, pyə lə la'. Tə́ ŋkhəm cwəlɔ pyə bɑwə bɑ́ pá' netsə́ dzʉ́ a, mkaknyə́ tsə́ bi dzʉ̌.
il est apparu à Pierre, puis aux douze apôtres.	Ŋ tə́ bvə nwə bɔ bi po po'o m nə́ lɑ so ŋkhu wɔ pɑ́, gɑ̌ bvə nə́ nə nthɔk wɔ pó pɑ̌ pyə gɑ̌ ŋkhuŋ wap a.
Ensuite, il est apparu à plus de cinq cents de ses disciples à la fois – la plupart d'entre eux sont encore vivants, mais quelques-uns sont morts.	Nə pa' po ghə pɑ cya wɔ pɑ shǎ' nə Kristo, bɑ po ka ghə vəŋ mtá pɑ́. Myə nə lə́ shyə m nə́ Cuŋ pɑpuŋ dzə́ wɔ nə Yeso Kristo.
Ensuite, il est apparu à Jacques, puis à tous les apôtres.	A po'o tə gɑ səso wɔ gɑ po pɑ́ pɑ fo'msə́nyə́ mə̌.
Enfin, après eux tous, il m'est aussi apparu à moi, bien que je sois pareil à un être né avant terme.	A ywə yə gɑ̌ nthəm Timotio mú ŋkhuŋ a biŋ bɑ nyənyɔ nə Cyəpɔ nə́ a; e gɔ kamtə wɔ yɑ vɔk nə Kristo, pa' gɑ nə ji'tə nə guŋ mtsʉ' awɛ nthʉm mcu'tə pɔ Kristo a.
Je suis en effet le moindre des apôtres – à vrai dire, je ne mérite même pas d'être appelé apôtre –, car j'ai persécuté l'Église de Dieu.	Shɑ pɔ kě bɑ nthɔmtə́ gɑ ŋ tə gɔ piŋ sɔ' wə po a, ntho' nə ŋa' nɑ tsap.
Mais par la grâce de Dieu je suis ce que je suis, et la grâce qu'il m'a accordée n'a pas été inefficace: au contraire, j'ai travaillé plus que tous les autres apôtres – non pas moi, en réalité, mais la grâce de Dieu qui agit en moi.	Tə́ Cyəpɔ piŋ bɑ gɑ gɔ sɔ' wə po, tə zhyə mghɔm pu a mfa' pɑ ŋa'nɑ bǎ.
Ainsi, que ce soit moi, que ce soit eux, voilà ce que nous prêchons, voilà ce que vous avez cru.	Nə pa' Nəfo Si tə́ bɑ pɑ mghɔm pɑ̀, a bɑ́ mfa'.
Nous prêchons donc que le Christ est revenu d'entre les morts: comment alors quelques-uns d'entre vous peuvent-ils dire que les morts ne se relèveront pas?	Pǒ lɑ yá nə? Gɑ́ dɑ pɑ mshɔm sɔ' bi po kɑ ŋkhuŋnyə kɑ m nthʉm zhwenyə bwatə pwǎtə?
Si tel est le cas, le Christ n'est pas non plus ressuscité	Pu bɑwə ju' nə guŋ mtsʉ' awɛ gɑ́ mu' ghìŋ cwəpùŋ wə po, bɑ́ nthi ghiŋ cwəpùŋ yə́ pú tə́ jɔ́ yá ba m wə pɑ tə pɑ pɑ Yudea a pɑ́: A pɑ̌ gɑ́ mu' mo cəcɑ̌ po bɑwə bvɔk pu jwi tap e.
et si le Christ n'est pas ressuscité, nous n'avons rien à prêcher et vous n'avez rien à croire.	A piŋ bɑ bi po pɑ́ ywə́ ŋa'nɑ! Bɑ po katə bɑ gɔ lə́ŋ nwə bɔ lə̌ŋ pa' pu dəŋ vʉ́ a po'o gɑ́ mo yə́ e gə nthi nwə bɔ a təm cəcɑ̌ po a lə́?
De plus, il se trouve que nous sommes de faux témoins de Dieu puisque nous avons certifié qu'il a ressuscité le Christ; or, il ne l'a pas fait, s'il est vrai que les morts ne ressuscitent pas.	Myə yə ŋ tə wə bɑ cəcɑ̌ po pɑ́ tə́ zhwenyə a pɑ́ pɑ cəcɑ̌ po a gɑ̌ e da' fyɛ' mo yə́ e fa' mɔ nthi mfà' a pɑ pa' cwə yə́ gɑ̌ bɑ pɑ́ cəcɑ̌ po a
Car si les morts ne ressuscitent pas, le Christ non plus n'est pas ressuscité.	Cwə yə́ po gɔ cu'tə a biŋ bɑ cəcɑ̌ po m nə zhwenyə a, a cyə m nə tsǒ Cyəpɔ ba m nə́ tʉɔ e
Et si le Christ n'est pas ressuscité, votre foi est une illusion et vous êtes encore en plein dans vos péchés.	pu hɑ yə bǎ nthi mo bi Sata gɑ e sa'tə́ bap nɑ́ e po'o tə́ zhwenyə é sɔ' bvɔk nə tyɛ'dzʉ Cyəpɔ.
Il en résulte aussi que ceux qui sont morts en croyant au Christ sont perdus.	Ywə yə po wə́ ŋwɛnyə nə́ a ka puŋ! Po ka zhyə gɑ muywə ywə kwɔ'msɛ̌ gə guŋ msɛ awɛ kwɔ' a?
Si nous avons mis notre espérance dans le Christ uniquement pour cette vie, alors nous sommes les plus à plaindre de tous les hommes.	Po sɔk bvò ywə kwɔ'msɛ̌ nə po, shʉ' msɛ́ sə́, nə pa' ywə kwɔ'msɛ̌ tə jɑ nə po pɑ́. Nə pa' Kristo, paska yɔk pɑ bɑ́ pu lě dɑ é nuŋpwɔ'.
Mais, en réalité, le Christ est revenu d'entre les morts, en donnant ainsi la garantie que ceux qui sont morts ressusciteront également.	Pɑ ŋwɛnyə́, tə lɑ pɑ bvo kwɔ'msɛ̌, kɑ́ kwɔ'msɛ̌ tʉm shɔkcɔk, kwɔ'msɛ̌ nə gə nwə cwəpùŋ lə́ tə́ nə ŋwɛnyə́; pɑ lɑ pɑ msɛ tə kwɔ'msɛ̌, nthʉ́m dɔlɔ̌, nthʉm nyənyɔ tə́ nə́ ŋwɛnyə́.
Car, de même que la mort est venue par un homme, de même la résurrection des morts vient par un homme.	Ŋ də və bi po nthʉm dəŋdzə ŋwa'nyə a gɑ ka po a mgəgə́m pɑ́ nə sɔmywə.
Tous les hommes meurent parce qu'ils sont liés à Adam, de même tous recevront la vie parce qu'ils sont liés au Christ	Ŋ da tə́ gɔm pɑ́ da' mgəgə́m nə yəŋ dzʉ̌, kɑ msamshwə, kɑ mcǔŋ pu a pɑ ghamtə́ kətwɔk pɑ́, nə pa' a pɑ po'o bɑ po gɔ təm nə yəŋ dzʉ̌.
mais chacun à son propre rang: le Christ le premier de tous, puis ceux qui appartiennent au Christ, au moment où il viendra.	Ŋ də bvə bi po gɑ ka po a mo yə e biŋ tso fɑ tə bɑ gəgəm, kɑ samshwə, kɑ gamtə kətwɔk, kɑ nthɛmnɛ, kɑ bam mlu', kɑ shǔŋ lɑ pɑ nə sɔmywə kɑ ba nə tsʉnyə lɑ.
Ensuite arrivera la fin: le Christ détruira toute autorité, tout pouvoir et toute puissance spirituels, et il remettra le Royaume à Dieu le Père.	Myə nə́ gɔ fyɛ' pɑ dzʉ a? Po tə́ gɔ fyɛ' pɑ pɑ dyə a lə́?
Car il faut que le Christ règne jusqu'à ce que Dieu ait contraint tous les ennemis à passer sous ses pieds.	Si nə́ gɔ sɔ' fyɛ' pɑ dzʉ́. Po té mo shɔkcɔ̌k cəcɑ̌ po.
